name,ring,quadrant,isNew,Descripción en la empresa,Puntos de contacto (separados por punto y coma),URL APRENDIZAJE,Libros (Separados por punto y coma),books-HTML,point-of-contact-HTML,point-of-contact-with-header-html,link-to-confluence-with-header,books-with-header,description
Java 8,Adopted,Languages & Frameworks,FALSE,"Estamos usando Java 8 en muchos proyectos, y versiones anteriores en otros.",Didier Tabares;Santiago Garcés;,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Back-End+JAVA+1.8+-+Desarrollo+de+competencias,,,Didier Tabares<BR/>Santiago Garcés<BR/>,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Didier Tabares<BR/>Santiago Garcés<BR/>,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Back-End+JAVA+1.8+-+Desarrollo+de+competencias' target='_top'>aquí</a>,,"Estamos usando Java 8 en muchos proyectos, y versiones anteriores en otros.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Didier Tabares<BR/>Santiago Garcés<BR/><BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Back-End+JAVA+1.8+-+Desarrollo+de+competencias' target='_top'>aquí</a>"
C#,Adopted,Languages & Frameworks,FALSE,"Estamos usando C# y varios lenguajes de .Net en proyectos como Deloitte, Bomgar, Alfa, entre otros.",Raúl Zuluaga;John Alzate;Alejandro Jimenez;David Camilo Torres;,,,,Raúl Zuluaga<BR/>John Alzate<BR/>Alejandro Jimenez<BR/>David Camilo Torres<BR/>,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Raúl Zuluaga<BR/>John Alzate<BR/>Alejandro Jimenez<BR/>David Camilo Torres<BR/>,,,"Estamos usando C# y varios lenguajes de .Net en proyectos como Deloitte, Bomgar, Alfa, entre otros.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Raúl Zuluaga<BR/>John Alzate<BR/>Alejandro Jimenez<BR/>David Camilo Torres<BR/>"
Spring Framework,Adopted,Languages & Frameworks,FALSE,"Spring está siendo usado en proyectos como Avianca, Cadreon, GTL, Mutual, Seon, entre muchos otros. Se están usando módulos como Spring Boot, Batch, Security, Web, Data, entre otros.",Santiago Garcés;Daniel Valderrama;Andrés de León;Sebastián Villa,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Spring+-+Desarrollo+de+competencias,,,Santiago Garcés<BR/>Daniel Valderrama<BR/>Andrés de León<BR/>Sebastián Villa,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Santiago Garcés<BR/>Daniel Valderrama<BR/>Andrés de León<BR/>Sebastián Villa,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Spring+-+Desarrollo+de+competencias' target='_top'>aquí</a>,,"Spring está siendo usado en proyectos como Avianca, Cadreon, GTL, Mutual, Seon, entre muchos otros. Se están usando módulos como Spring Boot, Batch, Security, Web, Data, entre otros.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Santiago Garcés<BR/>Daniel Valderrama<BR/>Andrés de León<BR/>Sebastián Villa<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Spring+-+Desarrollo+de+competencias' target='_top'>aquí</a>"
Hibernate,Adopted,Languages & Frameworks,FALSE,"Usamos Hibernate para muchos proyectos como ORM. Cadreon, Avianca, Seon son algunos buenos ejemplos.",Deibys Quintero,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Hibernate+-+Desarrollo+de+Competencias,,,Deibys Quintero;,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Deibys Quintero;,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Hibernate+-+Desarrollo+de+Competencias' target='_top'>aquí</a>,,"Usamos Hibernate para muchos proyectos como ORM. Cadreon, Avianca, Seon son algunos buenos ejemplos.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Deibys Quintero;<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Hibernate+-+Desarrollo+de+Competencias' target='_top'>aquí</a>"
Entity Framework,Adopted,Languages & Frameworks,FALSE,Usamos Entity Framework como ORM para muchos proyectos .Net,Raúl Zuluaga;John Alzate,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Entity+Framework+-+Desarrollo+de+Competencias,,,Raúl Zuluaga<BR/>John Alzate,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Raúl Zuluaga<BR/>John Alzate,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Entity+Framework+-+Desarrollo+de+Competencias' target='_top'>aquí</a>,,Usamos Entity Framework como ORM para muchos proyectos .Net<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Raúl Zuluaga<BR/>John Alzate<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Entity+Framework+-+Desarrollo+de+Competencias' target='_top'>aquí</a>
Angular JS 1,Adopted,Languages & Frameworks,FALSE,Angular JS es uno de los frameworks más populares que usamos en FrontEnd. Hay muchos proyectos en Angular 1 y Angular 2.,Victor Cataño;Santiago Garcés;Pedro Patron;John de la Pava,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Angular+1++-+Desarrollo+de+Competencias,,,Victor Cataño<BR/>Santiago Garcés<BR/>Pedro Patron<BR/>John de la Pava,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Victor Cataño<BR/>Santiago Garcés<BR/>Pedro Patron<BR/>John de la Pava,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Angular+1++-+Desarrollo+de+Competencias' target='_top'>aquí</a>,,Angular JS es uno de los frameworks más populares que usamos en FrontEnd. Hay muchos proyectos en Angular 1 y Angular 2.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Victor Cataño<BR/>Santiago Garcés<BR/>Pedro Patron<BR/>John de la Pava<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Angular+1++-+Desarrollo+de+Competencias' target='_top'>aquí</a>
Ext JS,Adopted,Languages & Frameworks,FALSE,"En el pasado usamos Ext JS para varios proyectos, ahora se usa principalmente en proyectos que usan el framework interno Eureka.",,,,,,,,,"En el pasado usamos Ext JS para varios proyectos, ahora se usa principalmente en proyectos que usan el framework interno Eureka."
CSS Preprocessors (Less/Sass),Adopted,Languages & Frameworks,FALSE,El equipo de UX trabaja fuertemente con varios preprocessors CSS,David Franco;Luis David Carreño;Lina Cadavid,https://mercurio.psl.com.co:9443/confluence/display/SDCD/CSS3+-+Desarrollo+de+competencias,,,David Franco<BR/>Luis David Carreño<BR/>Lina Cadavid,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Franco<BR/>Luis David Carreño<BR/>Lina Cadavid,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/CSS3+-+Desarrollo+de+competencias' target='_top'>aquí</a>,,El equipo de UX trabaja fuertemente con varios preprocessors CSS<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Franco<BR/>Luis David Carreño<BR/>Lina Cadavid<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/CSS3+-+Desarrollo+de+competencias' target='_top'>aquí</a>
Bash,Adopted,Languages & Frameworks,TRUE,"Anteriormente Bash simplemente era un set de comandos del sistema operativo, sin embargo lo incluimos acá debido a que ya ha evolucionado mucho y se pueden crear programas elegantes en él.",David Vasquez,,,,David Vasquez,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Vasquez,,,"Anteriormente Bash simplemente era un set de comandos del sistema operativo, sin embargo lo incluimos acá debido a que ya ha evolucionado mucho y se pueden crear programas elegantes en él.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>David Vasquez"
Angular 2,Adopted,Languages & Frameworks,FALSE,Tomó un tiempo para que AngularJS 2 estuviera en un estado maduro pero lo estamos implementando ahora en varios proyectos de la empresa.,Pedro Patron,https://mercurio.psl.com.co:9443/confluence/display/SDCD/Angular+2+-+Desarrollo+de+Competencias,,,Pedro Patron,<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Pedro Patron,<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Angular+2+-+Desarrollo+de+Competencias' target='_top'>aquí</a>,,Tomó un tiempo para que AngularJS 2 estuviera en un estado maduro pero lo estamos implementando ahora en varios proyectos de la empresa.<BR/><BR/><b>Algunos puntos de contacto en la empresa:</b><BR/>Pedro Patron<BR/><BR/>Para desarrollar esta competencia presiona <a href='https://mercurio.psl.com.co:9443/confluence/display/SDCD/Angular+2+-+Desarrollo+de+Competencias' target='_top'>aquí</a>
